test,mean,avg,median,std,variance,pcnt_of_mean,pcnt_of_avg
NestedProtoMarshal1-8,0.0007781666666666667,0.0007781666666666667,0.000778,2.6087459737497456e-06,6.805555555555509e-12,0.3352425753372986,0.3352425753372986
NestedProtoMarshal10-8,0.009205233333333335,0.009205233333333335,0.009195,4.698700766051065e-05,2.207778888888886e-09,0.5104379862959546,0.5104379862959546
NestedProtoMarshal100-8,0.11226470000000001,0.11226470000000001,0.1122535,0.00015634558942718166,2.4443943333332858e-08,0.1392651380417724,0.1392651380417724
NestedProtoMarshal1000-8,1.1742951333333334,1.1742951333333334,1.1745014999999999,0.007068603330848943,4.996515304888878e-05,0.6019443605104733,0.6019443605104733
NestedProtoMarshal5000-8,6.026227133333334,6.026227133333334,6.024525499999999,0.010835657576518132,0.00011741147511555479,0.17980831682533213,0.17980831682533213
NestedProtoMarshal10000-8,12.237108233333334,12.237108233333334,12.239648500000001,0.031362123451368636,0.0009835827873788865,0.2562870479966796,0.2562870479966796
NestedJSONMarshal1-8,0.0047292666666666665,0.0047292666666666665,0.0047244999999999995,1.3433622825664827e-05,1.8046222222222305e-10,0.28405297845328015,0.28405297845328015
NestedJSONMarshal10-8,0.04402886666666665,0.04402886666666665,0.043936,0.0008797598056035264,7.739773155555545e-07,1.998143200605194,1.998143200605194
NestedJSONMarshal100-8,0.4609393333333333,0.4609393333333333,0.4623935,0.005499736553286485,3.0247102155555503e-05,1.193158438772091,1.193158438772091
NestedJSONMarshal1000-8,4.438290366666666,4.438290366666666,4.4344415,0.04401029128698831,0.001936905739165559,0.9916045966150205,0.9916045966150205
NestedJSONMarshal5000-8,24.644677599999998,24.644677599999998,23.372062,4.80178252803447,23.057115446537104,19.4840549589274,19.4840549589274
NestedJSONMarshal10000-8,57.6093757,57.6093757,47.5329205,14.241612294827753,202.82352075618903,24.720997444913735,24.720997444913735
NestedProtoUnMarshal1-8,0.0013979666666666668,0.0013979666666666668,0.001398,1.5380362660078954e-06,2.3655555555555095e-12,0.11001952354666744,0.11001952354666744
NestedProtoUnMarshal10-8,0.015736366666666668,0.015736366666666668,0.01574,1.7628543772971083e-05,3.107655555555575e-10,0.11202423117346709,0.11202423117346709
NestedProtoUnMarshal100-8,0.18866016666666666,0.18866016666666666,0.1886625,0.00024648922671972754,6.075693888888925e-08,0.13065250130687941,0.13065250130687941
NestedProtoUnMarshal1000-8,1.9095845333333332,1.9095845333333332,1.909695,0.001960867150579615,3.844999982222219e-06,0.10268553794561604,0.10268553794561604
NestedProtoUnMarshal5000-8,12.014639333333331,12.014639333333331,10.013911499999999,3.748675906779168,14.05257105406662,31.20090252213288,31.20090252213288
NestedProtoUnMarshal10000-8,22.956192133333335,22.956192133333335,20.216166,6.0636330049044345,36.76764521816638,26.413932108974596,26.413932108974596
NestedJSONUnMarshal1-8,0.013048733333333333,0.013048733333333333,0.0136205,0.0023773819204232953,5.651944795555555e-06,18.219254388088462,18.219254388088462
NestedJSONUnMarshal10-8,0.1433458,0.1433458,0.140156,0.023438362986636534,0.0005493568594933335,16.350924119602066,16.350924119602066
NestedJSONUnMarshal100-8,1.6055767333333335,1.6055767333333335,1.4811295,0.30598890518556754,0.09362921009666222,19.05788112352032,19.05788112352032
NestedJSONUnMarshal1000-8,15.495257400000002,15.495257400000002,14.2250495,2.4344046793011986,5.926326142603572,15.710643692186736,15.710643692186736
NestedJSONUnMarshal5000-8,79.0686879,79.0686879,76.1055945,13.47569344667987,181.5943138688908,17.043021459674264,17.043021459674264
NestedJSONUnMarshal10000-8,156.40604109999998,156.40604109999998,152.2786825,23.020936818603165,529.9635320061187,14.718700541678226,14.718700541678226
SimpleProtoMarshal-8,8.423333333333333e-05,8.423333333333333e-05,8.070000000000001e-05,1.1979519560019463e-05,1.4350888888888891e-10,14.221827732512224,14.221827732512224
SimpleJSONMarshal-8,0.00032413333333333326,0.00032413333333333326,0.000324,3.373754914367992e-06,1.1382222222222177e-11,1.04085404597943,1.04085404597943
SimpleProtoUnMarshal-8,4.0463333333333336e-05,4.0463333333333336e-05,3.34e-05,1.3220753466509471e-05,1.747883222222222e-10,32.67341659076399,32.67341659076399
SimpleJSONUnMarshal-8,0.0007088999999999998,0.0007088999999999998,0.000709,4.988987873306574e-06,2.4890000000000046e-11,0.7037646880105197,0.7037646880105197
